Strain Name,Alias,Alt. Name,# Founders,% Het,Status
CC013/GeniUnc,AU8010,GIG_EF,7,0.5,2=SPF
CC014/Unc,OR3415,,8,9.5,1=Barrier
CC015/Unc,OR3154,,8,8.6,2=SPF
CC016/GeniUnc,AU8024,SAT_GA,7,3.7,2=SPF
CC017/Unc,OR3032,,8,7.4,2=SPF
CC018/Unc,OR3609,,8,9.6,2=SPF
CC019/TauUnc,IL16513,IL2513,6,9,1=Barrier
CC020/GeniUnc,AU8054,JUNIOR_GB,8,4.5,2=SPF
CC021/Unc,OR1566,,8,6.3,2=SPF
CC022/GeniUnc,AU8046,MEE_AG,8,7.4,2=SPF
CC023/GeniUnc,AU8043,TOP_DA,8,8.6,2=SPF
CC024/GeniUnc,AU8004,CIS_AD,8,3.6,2=SPF
CC025/GeniUnc,AU8008,FEW_FD,8,5.3,2=SPF
CC026/GeniUnc,AU8026,TAS_FE,7,4.6,2=SPF
CC027/GeniUnc,AU8027,TOFU_FB,8,8.2,2=SPF
CC028/GeniUnc,AU8016,JUD_EF,8,2.1,2=SPF
CC029/Unc,OR3564,,8,8.9,2=SPF
CC030/GeniUnc,AU8034,ZIF2_FC,8,8.4,2=SPF
CC031/GeniUnc,AU8031,WAB2_DH,6,8.3,2=SPF
CC032/GeniUnc,AU8002,BEM_AG,7,8.6,2=SPF
CC033/GeniUnc,AU8033,YID_FH,8,9.3,2=SPF
CC034/Unc,OR5080,,8,9.3,2=SPF
CC035/Unc,OR5035,,8,11.2,2=SPF
CC036/Unc,OR477,,8,9,2=SPF
CC037/TauUnc,IL16072,IL72,6,1.1,1=Barrier
CC038/GeniUnc,AU8049,ROGAN,8,4.3,2=SPF
CC039/Unc,OR15155,,8,10.3,1=Barrier
CC040/TauUnc,IL16557,IL57,8,11.4,1=Barrier
CC041/TauUnc,IL16441,IL4141,6,9.5,1=Barrier
CC042/GeniUnc,AU18042,BOM_GB,7,6.3,1=Barrier
CC043/GeniUnc,AU8021,PIPING_BD,8,4.7,2=SPF
CC044/Unc,OR4410,,8,10.2,2=SPF
CC045/GeniUnc,AU8045,DAM_HG,8,11.7,2=SPF
CC046/Unc,OR5346,,8,10.3,2=SPF
CC047/Unc,OR5612,,8,6.1,2=SPF
CC048/Unc,OR5248,,8,6.7,2=SPF
CC049/TauUnc,IL16296,IL2296,8,13.1,1=Barrier
CC050/Unc,OR867,,8,4.6,2=SPF
CC051/TauUnc,IL16912,1912,6,6.9,1=Barrier
CC052/GeniUnc,AU8052,FUF_HE,8,10.4,2=SPF
CC053/Unc,OR773,,8,11.4,2=SPF
CC054/GeniUnc,AU8050,CIV2_FE,8,10.5,2=SPF
CC055/TauUnc,IL16680,IL2680,8,10.6,1=Barrier
CC056/GeniUnc,AU8056,PUB_CD,6,4.3,2=SPF
CC057/Unc,OR3393,,8,10.7,2=SPF
CC058/Unc,OR5358,,8,15,2=SPF
CC059/TauUnc,IL16012,IL3912,6,10.3,1=Barrier
CC060/Unc,OR3460,,8,14.6,2=SPF
CC061/GeniUnc,AU8048,FIM_DF,8,5.1,2=SPF
CC062/Unc,OR5306,,8,11.8,2=SPF
CC063/Unc,OR5391,,8,7.2,2=SPF
CC065/Unc,OR5119,,8,8.1,1=Barrier
CC068/TauUnc,IL16768,IL2668,8,14.1,1=Barrier
CC070/TauUnc,IL16034,IL34,8,12.4,1=Barrier
CC071/TauUnc,IL16785,IL285,8,12.8,1=Barrier
CC072/TauUnc,IL16521,IL21,6,0.8,1=Barrier
CC073/Unc,OR1515,,8,6.6,2=SPF
CC074/Unc,OR3015,,8,10.3,2=SPF
CC075/Unc,OR3260,,8,11.9,2=SPF
CC076/Unc,OR5343,,8,12.9,2=SPF
OR559,OR559,,8,8.9,2=SPF
CC001/Unc,OR13140,,8,4.6,1=Barrier
CC002/Unc,OR15156,,8,10.2,1=Barrier
CC003/Unc,OR13067,,8,8.9,1=Barrier
CC004/TauUnc,IL16188,IL188A,8,5.2,1=Barrier
CC005/TauUnc,IL16211,IL211A,8,1.1,1=Barrier
CC006/TauUnc,IL16750,IL2750,8,8.3,1=Barrier
CC007/Unc,OR13421,,8,9.8,1=Barrier
CC008/GeniUnc,AU8036,BOON_HF,8,5.3,2=SPF
CC009/Unc,OR5489,,8,8.4,2=SPF
CC010/GeniUnc,AU8018,NUK_AC,8,3.4,1=Barrier
CC011/Unc,OR3252,,8,5.9,2=SPF
CC012/GeniUnc,AU8005,DAVIS_BA,8,9.3,2=SPF